#input, Strategy, Shape Filter, Container Height, Rotations Allowed, Number of rectangles, Input sorted, Fill rate, # Mutations
10, SimulatedAnnealing, None, 32, true, 25, -, 0.8740775, 700
10, SimulatedAnnealing, None, 32, true, 25, -, 0.85206836, 800
11, SimulatedAnnealing, None, 151, false, 10, -, 0.8371809, 100
11, SimulatedAnnealing, None, 151, false, 10, -, 0.7745347, 200
11, SimulatedAnnealing, None, 151, false, 10, -, 0.7956646, 300
11, SimulatedAnnealing, None, 151, false, 10, -, 0.7745347, 400
11, SimulatedAnnealing, None, 151, false, 10, -, 0.7745347, 500
11, SimulatedAnnealing, None, 151, false, 10, -, 0.7745347, 600
11, SimulatedAnnealing, None, 151, false, 10, -, 0.8340336, 700
11, SimulatedAnnealing, None, 151, false, 10, -, 0.7988033, 800
12, SimulatedAnnealing, None, 71, false, 25, -, 0.88270605, 100
12, SimulatedAnnealing, None, 71, false, 25, -, 0.8773128, 200
12, SimulatedAnnealing, None, 71, false, 25, -, 0.8863386, 300
12, SimulatedAnnealing, None, 71, false, 25, -, 0.87375367, 400
12, SimulatedAnnealing, None, 71, false, 25, -, 0.8513055, 500
12, SimulatedAnnealing, None, 71, false, 25, -, 0.8651768, 600
12, SimulatedAnnealing, None, 71, false, 25, -, 0.86498106, 700
12, SimulatedAnnealing, None, 71, false, 25, -, 0.8513055, 800
13, SimulatedAnnealing, None, 144, true, 25, -, 0.8381814, 100
13, SimulatedAnnealing, None, 144, true, 25, -, 0.8178464, 200
13, SimulatedAnnealing, None, 144, true, 25, -, 0.8402089, 300
13, SimulatedAnnealing, None, 144, true, 25, -, 0.81089765, 400
13, SimulatedAnnealing, None, 144, true, 25, -, 0.8304114, 500
13, SimulatedAnnealing, None, 144, true, 25, -, 0.8304114, 600
13, SimulatedAnnealing, None, 144, true, 25, -, 0.84358203, 700
13, SimulatedAnnealing, None, 144, true, 25, -, 0.82143396, 800
14, SimulatedAnnealing, None, 75, true, 10, -, 0.9321196, 100
14, SimulatedAnnealing, None, 75, true, 10, -, 0.9321196, 200
14, SimulatedAnnealing, None, 75, true, 10, -, 0.90692717, 300
14, SimulatedAnnealing, None, 75, true, 10, -, 0.9196914, 400
14, SimulatedAnnealing, None, 75, true, 10, -, 0.8948348, 500
14, SimulatedAnnealing, None, 75, true, 10, -, 0.94053406, 600
14, SimulatedAnnealing, None, 75, true, 10, -, 0.88684523, 700
14, SimulatedAnnealing, None, 75, true, 10, -, 0.915172, 800
15, SimulatedAnnealing, None, 77, false, 10, -, 0.89044696, 100
15, SimulatedAnnealing, None, 77, false, 10, -, 0.8966624, 200
15, SimulatedAnnealing, None, 77, false, 10, -, 0.89044696, 300
15, SimulatedAnnealing, None, 77, false, 10, -, 0.89044696, 400
15, SimulatedAnnealing, None, 77, false, 10, -, 0.89044696, 500
15, SimulatedAnnealing, None, 77, false, 10, -, 0.8850174, 600
15, SimulatedAnnealing, None, 77, false, 10, -, 0.92089653, 700
15, SimulatedAnnealing, None, 77, false, 10, -, 0.89044696, 800
16, SimulatedAnnealing, None, 23, true, 10, -, 0.96606576, 100
16, SimulatedAnnealing, None, 23, true, 10, -, 0.88019323, 200
16, SimulatedAnnealing, None, 23, true, 10, -, 0.88019323, 300
16, SimulatedAnnealing, None, 23, true, 10, -, 0.88019323, 400
16, SimulatedAnnealing, None, 23, true, 10, -, 0.9001976, 500
16, SimulatedAnnealing, None, 23, true, 10, -, 0.92113245, 600
16, SimulatedAnnealing, None, 23, true, 10, -, 0.92113245, 700
